target,input,strategy,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,best R2,best MAE,best RMSE,unanimous
temperature,16S,random_kfold,0.6746,2.578,3.561,0.9662,0.815,1.147,0.9687,0.814,1.105,0.9852,0.565,0.763,TabPFN,TabPFN,TabPFN,True
temperature,16S,temporal_holdout,-16.3173,5.807,9.473,0.0076,1.823,2.268,0.316,1.512,1.883,0.6336,1.088,1.378,TabPFN,TabPFN,TabPFN,True
temperature,16S,temporal_blocked_kfold,-22.145,7.372,12.228,-0.0069,2.2,2.737,0.1375,2.009,2.497,0.5054,1.319,1.709,TabPFN,TabPFN,TabPFN,True
temperature,16S,leave_one_site_out,0.6005,2.768,3.866,0.906,1.07,1.448,0.9135,1.067,1.433,0.9552,0.755,1.006,TabPFN,TabPFN,TabPFN,True
temperature,18S,random_kfold,0.75,1.913,3.083,0.9584,0.862,1.279,0.9637,0.862,1.194,0.985,0.574,0.768,TabPFN,TabPFN,TabPFN,True
temperature,18S,temporal_holdout,-95.1117,10.773,22.316,0.3638,1.439,1.816,0.0458,1.804,2.224,0.7227,0.954,1.199,TabPFN,TabPFN,TabPFN,True
temperature,18S,temporal_blocked_kfold,-214.3508,13.183,32.558,-0.524,2.81,3.363,-0.299,2.595,3.117,0.5629,1.35,1.711,TabPFN,TabPFN,TabPFN,True
temperature,18S,leave_one_site_out,-0.6217,2.671,5.457,0.9492,0.926,1.358,0.9516,0.964,1.299,0.9807,0.614,0.817,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,random_kfold,0.8368,1.705,2.532,0.9707,0.772,1.075,0.9725,0.764,1.039,0.9863,0.552,0.735,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,temporal_holdout,-44.9346,7.835,15.428,0.2615,1.623,1.956,0.3719,1.482,1.804,0.6345,1.09,1.376,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,temporal_blocked_kfold,-400.4392,17.947,48.484,-0.9972,3.071,3.76,-0.6261,2.812,3.418,0.5698,1.315,1.648,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,leave_one_site_out,0.5075,2.035,3.472,0.9499,0.917,1.22,0.9423,0.959,1.24,0.9738,0.652,0.873,TabPFN,TabPFN,TabPFN,True
salinity,16S,random_kfold,0.6971,1.899,2.857,0.9505,0.77,1.151,0.9521,0.774,1.132,0.9702,0.513,0.893,TabPFN,TabPFN,TabPFN,True
salinity,16S,temporal_holdout,0.4462,2.347,3.255,0.9204,0.823,1.234,0.9251,0.758,1.197,0.9247,0.783,1.201,XGBoost,XGBoost,XGBoost,True
salinity,16S,temporal_blocked_kfold,-1.6188,3.607,6.333,0.894,1.127,1.538,0.9109,1.024,1.415,0.9225,0.901,1.314,TabPFN,TabPFN,TabPFN,True
salinity,16S,leave_one_site_out,-44.4136,1.95,2.592,-26.3063,1.044,1.419,-21.9691,0.982,1.337,-8.2956,0.674,0.975,TabPFN,TabPFN,TabPFN,True
salinity,18S,random_kfold,0.7592,1.699,2.549,0.9167,1.031,1.505,0.9265,0.97,1.411,0.953,0.732,1.124,TabPFN,TabPFN,TabPFN,True
salinity,18S,temporal_holdout,-1.342,4.225,6.694,0.8949,1.11,1.418,0.8774,1.161,1.532,0.9017,1.073,1.371,TabPFN,TabPFN,TabPFN,True
salinity,18S,temporal_blocked_kfold,-59.888,10.274,24.952,0.8254,1.525,1.973,0.8434,1.453,1.872,0.8772,1.268,1.659,TabPFN,TabPFN,TabPFN,True
salinity,18S,leave_one_site_out,-1532.8187,2.661,5.099,-60.1234,1.45,1.934,-55.9923,1.38,1.843,-35.1616,1.046,1.436,TabPFN,TabPFN,TabPFN,True
salinity,16S+18S,random_kfold,0.8038,1.544,2.29,0.9489,0.794,1.172,0.9511,0.772,1.144,0.9706,0.514,0.885,TabPFN,TabPFN,TabPFN,True
