target,input,strategy,Lasso R2,Lasso MAE,Lasso RMSE,RF R2,RF MAE,RF RMSE,XGBoost R2,XGBoost MAE,XGBoost RMSE,TabPFN R2,TabPFN MAE,TabPFN RMSE,best R2,best MAE,best RMSE,unanimous
temperature,16S,random_kfold,0.675,2.578,3.561,0.966,0.815,1.147,0.969,0.814,1.105,0.985,0.565,0.763,TabPFN,TabPFN,TabPFN,True
temperature,16S,temporal_holdout,-16.317,5.807,9.473,0.008,1.823,2.268,0.316,1.512,1.883,0.634,1.088,1.378,TabPFN,TabPFN,TabPFN,True
temperature,16S,temporal_blocked_kfold,-22.145,7.372,12.228,-0.007,2.2,2.737,0.138,2.009,2.497,0.505,1.319,1.709,TabPFN,TabPFN,TabPFN,True
temperature,16S,leave_one_site_out,0.6,2.768,3.866,0.906,1.07,1.448,0.914,1.067,1.433,0.955,0.755,1.006,TabPFN,TabPFN,TabPFN,True
temperature,18S,random_kfold,0.75,1.913,3.083,0.958,0.862,1.279,0.964,0.862,1.194,0.985,0.574,0.768,TabPFN,TabPFN,TabPFN,True
temperature,18S,temporal_holdout,-95.112,10.773,22.316,0.364,1.439,1.816,0.046,1.804,2.224,0.723,0.954,1.199,TabPFN,TabPFN,TabPFN,True
temperature,18S,temporal_blocked_kfold,-214.351,13.183,32.558,-0.524,2.81,3.363,-0.299,2.595,3.117,0.563,1.35,1.711,TabPFN,TabPFN,TabPFN,True
temperature,18S,leave_one_site_out,-0.622,2.671,5.457,0.949,0.926,1.358,0.952,0.964,1.299,0.981,0.614,0.817,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,random_kfold,0.837,1.705,2.532,0.971,0.772,1.075,0.972,0.764,1.039,0.986,0.552,0.735,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,temporal_holdout,-44.935,7.835,15.428,0.262,1.623,1.956,0.372,1.482,1.804,0.634,1.09,1.376,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,temporal_blocked_kfold,-400.439,17.947,48.484,-0.997,3.071,3.76,-0.626,2.812,3.418,0.57,1.315,1.648,TabPFN,TabPFN,TabPFN,True
temperature,16S+18S,leave_one_site_out,0.507,2.035,3.472,0.95,0.917,1.22,0.942,0.959,1.24,0.974,0.652,0.873,TabPFN,TabPFN,TabPFN,True
salinity,16S,random_kfold,0.697,1.899,2.857,0.95,0.77,1.151,0.952,0.774,1.132,0.97,0.513,0.893,TabPFN,TabPFN,TabPFN,True
salinity,16S,temporal_holdout,0.446,2.347,3.255,0.92,0.823,1.234,0.925,0.758,1.197,0.925,0.783,1.201,XGBoost,XGBoost,XGBoost,True
salinity,16S,temporal_blocked_kfold,-1.619,3.607,6.333,0.894,1.127,1.538,0.911,1.024,1.415,0.922,0.901,1.314,TabPFN,TabPFN,TabPFN,True
salinity,16S,leave_one_site_out,-44.414,1.95,2.592,-26.306,1.044,1.419,-21.969,0.982,1.337,-8.296,0.674,0.975,TabPFN,TabPFN,TabPFN,True
salinity,18S,random_kfold,0.759,1.699,2.549,0.917,1.031,1.505,0.926,0.97,1.411,0.953,0.732,1.124,TabPFN,TabPFN,TabPFN,True
salinity,18S,temporal_holdout,-1.342,4.225,6.694,0.895,1.11,1.418,0.877,1.161,1.532,0.902,1.073,1.371,TabPFN,TabPFN,TabPFN,True
salinity,18S,temporal_blocked_kfold,-59.888,10.274,24.952,0.825,1.525,1.973,0.843,1.453,1.872,0.877,1.268,1.659,TabPFN,TabPFN,TabPFN,True
salinity,18S,leave_one_site_out,-1532.819,2.661,5.099,-60.123,1.45,1.934,-55.992,1.38,1.843,-35.162,1.046,1.436,TabPFN,TabPFN,TabPFN,True
salinity,16S+18S,random_kfold,0.804,1.544,2.29,0.949,0.794,1.172,0.951,0.772,1.144,0.971,0.514,0.885,TabPFN,TabPFN,TabPFN,True
salinity,16S+18S,temporal_holdout,-0.187,3.072,4.766,0.916,0.855,1.269,0.91,0.913,1.312,0.934,0.699,1.121,TabPFN,TabPFN,TabPFN,True
salinity,16S+18S,temporal_blocked_kfold,-35.914,7.916,20.948,0.891,1.163,1.557,0.909,1.062,1.426,0.93,0.857,1.249,TabPFN,TabPFN,TabPFN,True
salinity,16S+18S,leave_one_site_out,-1728.618,2.5,4.895,-29.936,1.086,1.459,-22.829,1.015,1.36,-13.941,0.721,1.041,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S,random_kfold,0.464,0.445,0.675,0.756,0.315,0.461,0.763,0.306,0.455,0.783,0.284,0.435,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S,temporal_holdout,0.411,0.495,0.699,0.784,0.318,0.423,0.72,0.356,0.482,0.821,0.283,0.385,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S,temporal_blocked_kfold,-35.992,1.625,4.39,0.626,0.391,0.529,0.606,0.402,0.546,0.64,0.38,0.517,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S,leave_one_site_out,-3.175,0.589,0.893,0.338,0.326,0.467,0.315,0.32,0.467,0.4,0.296,0.441,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,18S,random_kfold,0.562,0.383,0.606,0.754,0.317,0.464,0.753,0.315,0.466,0.792,0.278,0.427,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,18S,temporal_holdout,-1.703,0.84,1.497,0.806,0.297,0.401,0.813,0.291,0.394,0.841,0.257,0.364,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,18S,temporal_blocked_kfold,-55.527,1.715,4.798,0.624,0.39,0.531,0.65,0.374,0.517,0.681,0.346,0.487,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,18S,leave_one_site_out,-0.323,0.428,0.631,0.288,0.336,0.476,0.321,0.321,0.462,0.414,0.29,0.43,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S+18S,random_kfold,0.665,0.36,0.541,0.768,0.305,0.451,0.773,0.297,0.446,0.794,0.275,0.424,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S+18S,temporal_holdout,-0.181,0.633,0.99,0.816,0.295,0.391,0.812,0.293,0.395,0.848,0.255,0.355,TabPFN,TabPFN,TabPFN,True
Chl_a_log1p,16S+18S,temporal_blocked_kfold,-6.718,1.041,2.148,0.646,0.379,0.512,0.664,0.363,0.504,0.662,0.359,0.495,XGBoost,TabPFN,TabPFN,False
Chl_a_log1p,16S+18S,leave_one_site_out,-2.15,0.489,0.828,0.352,0.32,0.457,0.36,0.309,0.45,0.424,0.286,0.429,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,random_kfold,0.439,16.182,29.072,0.622,12.383,23.981,0.6,12.233,24.394,0.689,10.581,21.812,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,temporal_holdout,-1.494,23.207,38.957,0.42,10.659,18.784,0.431,10.527,18.614,0.5,9.317,17.454,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,temporal_blocked_kfold,-259.389,103.731,303.717,0.292,19.03,30.351,0.245,18.985,31.081,0.342,17.34,29.316,TabPFN,TabPFN,TabPFN,True
Caffeine,16S,leave_one_site_out,0.004,16.385,28.924,0.394,13.161,23.809,0.29,13.095,24.058,0.433,11.425,22.142,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,random_kfold,0.401,16.307,29.947,0.519,13.723,27.023,0.434,14.143,28.925,0.598,11.926,24.684,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,temporal_holdout,0.098,13.416,23.427,0.152,11.068,22.713,0.196,12.585,22.123,0.213,10.498,21.888,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,temporal_blocked_kfold,-682.057,265.224,742.18,-0.013,21.757,35.589,-0.105,23.286,36.577,0.025,19.96,34.693,TabPFN,TabPFN,TabPFN,True
Caffeine,18S,leave_one_site_out,-27.906,35.429,79.525,0.252,14.588,26.343,-0.009,14.647,28.027,0.347,12.859,24.628,TabPFN,TabPFN,TabPFN,True
Caffeine,16S+18S,random_kfold,0.494,14.764,27.683,0.633,12.075,23.635,0.635,12.088,23.495,0.658,10.948,22.839,TabPFN,TabPFN,TabPFN,True
Caffeine,16S+18S,temporal_holdout,0.275,12.828,21.012,0.373,10.845,19.535,0.311,11.483,20.478,0.358,10.109,19.772,RF,TabPFN,RF,False
Caffeine,16S+18S,temporal_blocked_kfold,-6.196,38.211,73.113,0.252,19.933,31.288,0.228,19.736,31.613,0.229,18.55,31.18,RF,TabPFN,TabPFN,False
Caffeine,16S+18S,leave_one_site_out,-2.064,18.007,39.027,0.407,12.824,23.558,0.244,12.749,24.135,0.392,12.232,23.407,RF,TabPFN,TabPFN,False
Metoprolol,16S,random_kfold,0.343,17.272,32.085,0.495,13.595,28.081,0.477,13.389,28.388,0.543,11.703,26.769,TabPFN,TabPFN,TabPFN,True
Metoprolol,16S,temporal_holdout,0.175,16.415,27.002,0.248,11.608,25.777,0.222,11.469,26.218,0.08,11.157,28.503,RF,TabPFN,RF,False
Metoprolol,16S,temporal_blocked_kfold,-0.469,22.113,37.439,0.042,18.524,33.198,-0.367,19.802,37.741,0.105,17.053,33.079,TabPFN,TabPFN,TabPFN,True
