Target,k,Input,Model,R2,MAE,n_test,Baseline,Base_R2,Skill
Temperature,1,16S,TabPFN,0.135,1.797,373,Persistence,0.783,-0.648
Temperature,1,16S,Random Forest,-0.348,2.259,373,Persistence,0.783,-1.131
Temperature,1,16S,XGBoost,-0.456,2.322,373,Persistence,0.783,-1.239
Temperature,1,16S,Lasso,-845.109,15.006,373,Persistence,0.783,-845.892
Temperature,1,18S,TabPFN,0.074,1.922,373,Persistence,0.783,-0.709
Temperature,1,18S,Random Forest,-1.114,2.703,373,Persistence,0.783,-1.897
Temperature,1,18S,XGBoost,-0.993,2.645,373,Persistence,0.783,-1.776
Temperature,1,18S,Lasso,-708.976,33.718,373,Persistence,0.783,-709.759
Temperature,1,16S+18S,TabPFN,0.174,1.789,373,Persistence,0.783,-0.609
Temperature,1,16S+18S,Random Forest,-1.505,2.804,373,Persistence,0.783,-2.288
Temperature,1,16S+18S,XGBoost,-0.883,2.466,373,Persistence,0.783,-1.666
Temperature,1,16S+18S,Lasso,-5.487,3.677,373,Persistence,0.783,-6.27
Temperature,2,16S,TabPFN,-0.166,2.11,357,Persistence,0.692,-0.858
Temperature,2,16S,Random Forest,-0.594,2.491,357,Persistence,0.692,-1.287
Temperature,2,16S,XGBoost,-1.621,3.117,357,Persistence,0.692,-2.313
Temperature,2,16S,Lasso,-6.281,4.837,357,Persistence,0.692,-6.973
Temperature,2,18S,TabPFN,-0.165,2.188,357,Persistence,0.692,-0.857
Temperature,2,18S,Random Forest,-1.967,3.275,357,Persistence,0.692,-2.66
Temperature,2,18S,XGBoost,-1.937,3.386,357,Persistence,0.692,-2.63
Temperature,2,18S,Lasso,-17.923,5.506,357,Persistence,0.692,-18.615
Temperature,2,16S+18S,TabPFN,-0.036,2.032,357,Persistence,0.692,-0.728
Temperature,2,16S+18S,Random Forest,-1.734,3.005,357,Persistence,0.692,-2.426
Temperature,2,16S+18S,XGBoost,-2.266,3.478,357,Persistence,0.692,-2.958
Temperature,2,16S+18S,Lasso,-38.226,6.073,357,Persistence,0.692,-38.919
Temperature,3,16S,TabPFN,-0.007,1.971,341,Persistence,0.555,-0.562
Temperature,3,16S,Random Forest,-0.323,2.238,341,Persistence,0.555,-0.877
Temperature,3,16S,XGBoost,-0.985,2.826,341,Persistence,0.555,-1.54
Temperature,3,16S,Lasso,-5.228,4.357,341,Persistence,0.555,-5.783
Temperature,3,18S,TabPFN,-0.526,2.498,341,Persistence,0.555,-1.08
Temperature,3,18S,Random Forest,-2.812,3.916,341,Persistence,0.555,-3.366
Temperature,3,18S,XGBoost,-3.002,3.979,341,Persistence,0.555,-3.557
Temperature,3,18S,Lasso,-207.006,14.151,341,Persistence,0.555,-207.561
Temperature,3,16S+18S,TabPFN,-0.117,2.118,341,Persistence,0.555,-0.672
Temperature,3,16S+18S,Random Forest,-1.426,2.931,341,Persistence,0.555,-1.98
Temperature,3,16S+18S,XGBoost,-2.279,3.624,341,Persistence,0.555,-2.834
Temperature,3,16S+18S,Lasso,-14.569,5.212,341,Persistence,0.555,-15.124
Salinity,1,16S,TabPFN,0.496,2.446,374,Persistence,0.517,-0.02
Salinity,1,16S,Random Forest,0.555,2.278,374,Persistence,0.517,0.038
Salinity,1,16S,XGBoost,0.525,2.411,374,Persistence,0.517,0.008
Salinity,1,16S,Lasso,-4.32,5.591,374,Persistence,0.517,-4.837
Salinity,1,18S,TabPFN,0.618,2.107,374,Persistence,0.517,0.101
Salinity,1,18S,Random Forest,0.534,2.322,374,Persistence,0.517,0.018
Salinity,1,18S,XGBoost,0.496,2.421,374,Persistence,0.517,-0.021
Salinity,1,18S,Lasso,-14.63,9.417,374,Persistence,0.517,-15.147
Salinity,1,16S+18S,TabPFN,0.559,2.293,374,Persistence,0.517,0.042
Salinity,1,16S+18S,Random Forest,0.557,2.254,374,Persistence,0.517,0.04
Salinity,1,16S+18S,XGBoost,0.55,2.301,374,Persistence,0.517,0.033
Salinity,1,16S+18S,Lasso,-38.056,12.28,374,Persistence,0.517,-38.573
Salinity,2,16S,TabPFN,0.431,2.585,358,Persistence,0.429,0.002
Salinity,2,16S,Random Forest,0.526,2.374,358,Persistence,0.429,0.097
Salinity,2,16S,XGBoost,0.43,2.582,358,Persistence,0.429,0.001
Salinity,2,16S,Lasso,-5.436,5.546,358,Persistence,0.429,-5.865
Salinity,2,18S,TabPFN,0.589,2.232,358,Persistence,0.429,0.159
Salinity,2,18S,Random Forest,0.5,2.427,358,Persistence,0.429,0.071
Salinity,2,18S,XGBoost,0.471,2.518,358,Persistence,0.429,0.042
Salinity,2,18S,Lasso,-88.593,13.842,358,Persistence,0.429,-89.022
Salinity,2,16S+18S,TabPFN,0.511,2.392,358,Persistence,0.429,0.082
Salinity,2,16S+18S,Random Forest,0.538,2.349,358,Persistence,0.429,0.109
Salinity,2,16S+18S,XGBoost,0.411,2.561,358,Persistence,0.429,-0.018
Salinity,2,16S+18S,Lasso,-38.052,12.401,358,Persistence,0.429,-38.481
Salinity,3,16S,TabPFN,0.527,2.345,342,Persistence,0.51,0.017
Salinity,3,16S,Random Forest,0.53,2.378,342,Persistence,0.51,0.02
Salinity,3,16S,XGBoost,0.51,2.381,342,Persistence,0.51,-0.0
Salinity,3,16S,Lasso,-10.334,8.887,342,Persistence,0.51,-10.845
Salinity,3,18S,TabPFN,0.623,2.133,342,Persistence,0.51,0.113
Salinity,3,18S,Random Forest,0.552,2.272,342,Persistence,0.51,0.042
Salinity,3,18S,XGBoost,0.464,2.453,342,Persistence,0.51,-0.046
Salinity,3,18S,Lasso,-71.975,17.893,342,Persistence,0.51,-72.485
Salinity,3,16S+18S,TabPFN,0.571,2.261,342,Persistence,0.51,0.061
Salinity,3,16S+18S,Random Forest,0.54,2.365,342,Persistence,0.51,0.03
Salinity,3,16S+18S,XGBoost,0.549,2.366,342,Persistence,0.51,0.039
Salinity,3,16S+18S,Lasso,-89.583,17.71,342,Persistence,0.51,-90.094
Chlorophyll a,1,16S,TabPFN,0.539,0.457,391,Site mean,0.594,-0.055
Chlorophyll a,1,16S,Random Forest,0.556,0.464,391,Site mean,0.594,-0.038
Chlorophyll a,1,16S,XGBoost,0.493,0.49,391,Site mean,0.594,-0.101
Chlorophyll a,1,16S,Lasso,0.118,0.636,391,Site mean,0.594,-0.476
Chlorophyll a,1,18S,TabPFN,0.564,0.448,391,Site mean,0.594,-0.029
Chlorophyll a,1,18S,Random Forest,0.469,0.493,391,Site mean,0.594,-0.125
Chlorophyll a,1,18S,XGBoost,0.459,0.499,391,Site mean,0.594,-0.135
Chlorophyll a,1,18S,Lasso,-1.738,0.891,391,Site mean,0.594,-2.332
Chlorophyll a,1,16S+18S,TabPFN,0.562,0.444,391,Site mean,0.594,-0.032
Chlorophyll a,1,16S+18S,Random Forest,0.564,0.456,391,Site mean,0.594,-0.03
