target,strategy,model,fold,site,n_test,y_test_mean,r2,mae,rmse,alpha
salinity,leave_one_site_out,RF,0,Boergerende Strand,87,14.851311642167609,0.8913443277157228,0.6049838931718126,0.9315609564087516,
salinity,leave_one_site_out,RF,1,Diedrichshagen,84,14.659828770429034,0.8838394838239161,0.7137261152575686,0.9839297511328116,
salinity,leave_one_site_out,RF,2,Elmenhorst Strand,82,14.679070517636214,0.8870654537510628,0.6717147537270715,0.9784804550039822,
salinity,leave_one_site_out,RF,3,Jemnitzschleuse,88,14.607041970650226,0.8644665094736959,0.6351870800568465,1.0413461626687144,
salinity,leave_one_site_out,RF,4,Mittelmole Warnemuende,88,14.64382460367596,0.5889521896723557,1.0693329120221748,1.6550038024374147,
salinity,leave_one_site_out,RF,5,Muehlendamm,90,0.4467975949866631,-380.0342216700844,4.378923736639292,5.163686557384545,
salinity,leave_one_site_out,RF,6,Neptun-Werft,89,13.485563526465244,0.9165428028082804,0.7341868308854094,0.9490922627177226,
salinity,leave_one_site_out,RF,7,Parkplatz zur Warnow,88,11.440449833466598,0.957208528943435,0.7267646650396888,0.9464732335172668,
salinity,leave_one_site_out,RF,8,SAB Marina Bramow,90,11.677599042065673,0.9012580035694324,0.9315435094208092,1.4891921854375572,
salinity,leave_one_site_out,RF,9,Schmarl-Dorf / IGA-Park,87,12.151398944163088,0.9255883965153174,0.7774869402751835,1.1931064386916028,
salinity,leave_one_site_out,RF,10,Schwimmhalle Gehlsdorf,86,10.855659970554058,0.9656690889731232,0.7037375397073862,0.890186540704487,
salinity,leave_one_site_out,RF,11,Stadthafen Rostock,89,9.051682636266664,0.8771697098335349,1.4255410916826676,1.934011027835876,
salinity,leave_one_site_out,RF,12,Steilkueste Nienhagen,85,14.697878380619654,0.9093718507205024,0.5957850025423685,0.86108058704934,
salinity,leave_one_site_out,RF,13,Warnemuende Strand,84,14.845406822873215,0.9126553320727248,0.6211503474202903,0.8460462414540226,
salinity,leave_one_site_out,XGBoost,0,Boergerende Strand,87,14.851311642167609,0.9386363516808324,0.5404135540421982,0.7000687028745364,
salinity,leave_one_site_out,XGBoost,1,Diedrichshagen,84,14.659828770429034,0.901261548996106,0.696551279287898,0.9071476520612216,
salinity,leave_one_site_out,XGBoost,2,Elmenhorst Strand,82,14.679070517636214,0.9315800361156608,0.5733109616736166,0.7616056720248551,
salinity,leave_one_site_out,XGBoost,3,Jemnitzschleuse,88,14.607041970650226,0.8333773982997836,0.6946926671855589,1.1546191734748796,
