fold,site,n_test,median_salinity,r2
5,Muehlendamm,90,0.5785,-128.29906536992013
4,Mittelmole Warnemuende,88,14.587,0.6903219377755361
3,Jemnitzschleuse,88,14.87445,0.9113414816479914
8,SAB Marina Bramow,90,12.5535,0.9160527493162424
11,Stadthafen Rostock,89,7.8272,0.9420117530486363
9,Schmarl-Dorf / IGA-Park,87,12.9,0.9496426414512263
6,Neptun-Werft,89,13.5,0.953811587841543
13,Warnemuende Strand,84,14.8094,0.9650160837721312
2,Elmenhorst Strand,82,14.883500000000002,0.9690877252605961
0,Boergerende Strand,87,15.1,0.9695690134309082
1,Diedrichshagen,84,14.943999999999999,0.9706222498625291
12,Steilkueste Nienhagen,85,15.0,0.9719403279019444
7,Parkplatz zur Warnow,88,11.685,0.9733547941108845
10,Schwimmhalle Gehlsdorf,86,10.95,0.9783687773125458
