target,horizon_k,TabPFN R2,Pers R2,TabPFN RMSE,Pers RMSE,wins R2,wins RMSE,skill R2,skill RMSE
temperature,1,0.1352968630718396,0.7831327113903802,2.1142060185382685,1.0587923930252572,3,3,-0.6478358483185406,-0.996808847953099
temperature,2,-0.1648709263816024,0.6922797425803795,2.479629443650547,1.2744591660976905,3,3,-0.8571506689619819,-0.9456327119863779
temperature,3,-0.1171950691309178,0.5546790829313187,2.4102032775544204,1.5216883474818916,3,3,-0.6718741520622366,-0.583900725495371
salinity,1,0.5588277760942358,0.5167712786202683,3.0156897360236368,3.1561595297098988,2,2,0.04205649747396756,0.04450655689738647
salinity,2,0.5107881577127771,0.4292145922269771,3.131855676081263,3.382904132975841,1,1,0.08157356548579997,0.07421092854728284
salinity,3,0.5714290407233114,0.5102714979862422,2.950618561424448,3.1541285593285395,2,2,0.06115754273706919,0.06452178282403798
Chl_a_log1p,1,0.5615405032448262,0.5272834439508345,0.6037134872614361,0.6268542061061242,1,1,0.0342570592939917,0.03691563144871102
Chl_a_log1p,2,0.5388417017093594,0.5315167582163431,0.6279655514443608,0.6329331409020061,1,1,0.007324943493016267,0.007848521647272122
Chl_a_log1p,3,0.5336721722594417,0.4622627680549412,0.6320535128276488,0.678724047679632,3,3,0.07140940420450054,0.06876216484672493
Caffeine,1,0.1339441952742573,-0.2389770336911258,17.88571112324748,21.392665558688154,1,1,0.3729212289653831,0.16393256024219027
Caffeine,2,0.2332314661184907,-1.1356493134662595,17.099779550022006,28.537987315155917,3,3,1.3688807795847502,0.40080639320556855
Caffeine,3,0.1764525708062175,-0.9595138881251336,18.171580823550705,28.029966268424392,1,1,1.1359664589313512,0.3517087873194876
Metoprolol,1,0.0638581833562136,-0.0039102878791659,27.968391154478443,28.963038039262525,0,0,0.0677684712353795,0.03434193897186233
Metoprolol,2,0.100790473171319,0.0391967513130522,27.59485822578241,28.524296939153746,0,0,0.06159372185826681,0.0325841059414701
Metoprolol,3,0.0329526981645442,0.3455639618973019,30.7731150084379,25.31519077409,0,0,-0.31261126373275766,-0.21559877952545659
Atrazine,1,0.0140245811795454,-1.1241376725949137,0.5198851715959967,0.7630723502818759,3,3,1.1381622537744591,0.31869478509612736
Atrazine,2,-0.0005040612342093,-0.442983990913689,0.5457206239009788,0.6553777536657771,1,1,0.4424799296794797,0.1673189685665165
Atrazine,3,0.0045919516023454,-0.6914384112236518,0.5351904779636061,0.6976472688341234,3,3,0.6960303628259972,0.23286379539908153
