Target,Horizon k,TabPFN R²,Best baseline,Baseline R²,Skill,Verdict
temperature,1,0.1352968630718396,persistence,0.7831327113903802,-0.6478358483185406,loses to baseline
temperature,2,-0.1655189141565887,persistence,0.6922797425803795,-0.8577986567369682,loses to baseline
temperature,3,-0.0068237561579553,persistence,0.5546790829313187,-0.561502839089274,loses to baseline
salinity,1,0.4963024337768685,persistence,0.5167712786202683,-0.0204688448433997,negligible
salinity,2,0.4309989915141654,persistence,0.4292145922269771,0.0017843992871882,negligible
salinity,3,0.5273879544994642,persistence,0.5102714979862422,0.017116456513222,negligible
Chl_a,1,0.5391615445637259,site_mean,0.5939123063653993,-0.0547507618016733,loses to baseline
Chl_a,2,0.4651581960698533,site_mean,0.6078314406051303,-0.1426732445352769,loses to baseline
Chl_a,3,0.4867172944405764,site_mean,0.6035527943189829,-0.1168354998784065,loses to baseline
Caffeine,1,0.1234753780230513,site_mean,0.0426174746216979,0.0808579034013533,real skill
Caffeine,2,0.2282158284891585,site_mean,0.065710218535489,0.1625056099536694,real skill
Caffeine,3,0.1353199010302735,site_mean,0.1558486584594904,-0.0205287574292169,negligible
Metoprolol,1,0.0213235088024731,site_mean,0.1436973209693922,-0.1223738121669191,loses to baseline
Metoprolol,2,0.0749826371570867,site_mean,0.1191201356453907,-0.044137498488304,loses to baseline
Metoprolol,3,0.0328937265796214,persistence,0.3455639618973019,-0.3126702353176804,loses to baseline
Atrazine,1,0.0042996812641622,global_mean,-0.0421633109954919,0.0464629922596541,real skill
Atrazine,2,0.0072367539234367,global_mean,-0.0340111544734342,0.0412479083968709,real skill
Atrazine,3,0.0090344464600947,global_mean,-0.038122045011022,0.0471564914711167,real skill
