target,horizon_k,baseline,n_test,r2,rmse,mae
temperature,1,persistence,373,0.7831,1.0588,0.8107
temperature,1,site_mean,373,-11.5398,8.0512,7.7362
temperature,1,global_mean,373,-11.5835,8.0652,7.7381
temperature,2,persistence,357,0.6923,1.2745,1.0353
temperature,2,site_mean,357,-11.1627,8.0124,7.6894
temperature,2,global_mean,357,-11.2081,8.0274,7.6916
temperature,3,persistence,341,0.5547,1.5217,1.2195
temperature,3,site_mean,341,-11.1434,7.9462,7.6272
temperature,3,global_mean,341,-11.1954,7.9632,7.6297
salinity,1,persistence,374,0.5168,3.1562,2.2848
salinity,1,site_mean,374,-0.5283,5.6129,4.6421
salinity,1,global_mean,374,-1.0348,6.4765,4.9902
salinity,2,persistence,358,0.4292,3.3829,2.4067
salinity,2,site_mean,358,-0.5757,5.6207,4.6797
salinity,2,global_mean,358,-1.0896,6.4727,4.9754
salinity,3,persistence,342,0.5103,3.1541,2.2475
salinity,3,site_mean,342,-0.5219,5.5603,4.6038
salinity,3,global_mean,342,-1.0452,6.4457,4.9233
Chl_a,1,persistence,391,0.5273,0.6269,0.4498
Chl_a,1,site_mean,391,0.5939,0.581,0.44
Chl_a,1,global_mean,391,-0.0014,0.9124,0.7791
Chl_a,2,persistence,378,0.5315,0.6329,0.4535
Chl_a,2,site_mean,378,0.6078,0.5791,0.4356
Chl_a,2,global_mean,378,-0.0033,0.9262,0.7895
Chl_a,3,persistence,365,0.4623,0.6787,0.4892
Chl_a,3,site_mean,365,0.6036,0.5828,0.4367
Chl_a,3,global_mean,365,-0.0033,0.9271,0.7934
Caffeine,1,persistence,272,-0.239,21.3927,13.296
Caffeine,1,site_mean,272,0.0426,18.8051,13.3934
Caffeine,1,global_mean,272,-0.1675,20.7663,17.5296
Caffeine,2,persistence,250,-1.1356,28.538,15.5504
Caffeine,2,site_mean,250,0.0657,18.8755,13.4153
Caffeine,2,global_mean,250,-0.1452,20.8977,17.4772
Caffeine,3,persistence,222,-0.9595,28.03,14.8351
Caffeine,3,site_mean,222,0.1558,18.3975,12.8746
Caffeine,3,global_mean,222,-0.121,21.2009,17.5471
Metoprolol,1,persistence,276,-0.0039,28.963,9.7692
Metoprolol,1,site_mean,276,0.1437,26.7492,15.3518
Metoprolol,1,global_mean,276,-0.1165,30.544,22.553
Metoprolol,2,persistence,252,0.0392,28.5243,11.3004
Metoprolol,2,site_mean,252,0.1191,27.3122,15.5739
Metoprolol,2,global_mean,252,-0.1111,30.6746,22.4724
Metoprolol,3,persistence,224,0.3456,25.3152,10.7058
Metoprolol,3,site_mean,224,0.235,27.3696,15.4443
Metoprolol,3,global_mean,224,-0.0747,32.4407,23.1414
Atrazine,1,persistence,272,-1.1241,0.7631,0.1596
Atrazine,1,site_mean,272,-0.0813,0.5444,0.2581
Atrazine,1,global_mean,272,-0.0422,0.5345,0.2559
Atrazine,2,persistence,250,-0.443,0.6554,0.12
Atrazine,2,site_mean,250,-0.0605,0.5618,0.262
Atrazine,2,global_mean,250,-0.034,0.5548,0.2621
Atrazine,3,persistence,222,-0.6914,0.6976,0.1347
Atrazine,3,site_mean,222,-0.0783,0.557,0.2596
Atrazine,3,global_mean,222,-0.0381,0.5466,0.2585
