target,k,n_test_pairs,r2,mae,rho,std_y,pct_nonzero
temperature,1,373,0.7831327113903802,0.8107442359249329,0.834865880542256,2.2735985706741224,100.0
temperature,2,357,0.6922797425803795,1.0353210084033613,0.7574292161970725,2.2974595915698863,100.0
temperature,3,341,0.5546790829313187,1.219506158357771,0.6533422350123878,2.280285195151877,100.0
salinity,1,374,0.5167712786202683,2.2847681818181815,0.7564484301230436,4.540279376662197,99.73262032085562
salinity,2,358,0.4292145922269771,2.406696648044693,0.6873967538881374,4.477682129077328,99.72067039106145
salinity,3,342,0.5102714979862422,2.247474269005848,0.7576717646660154,4.507146769267405,99.70760233918129
Chl_a,1,391,0.5272834439508345,0.44980013955136294,0.7132929421896882,0.9117297743645834,100.0
Chl_a,2,378,0.5315167582163431,0.4534976946411104,0.7215082852272326,0.9247211826558318,100.0
Chl_a,3,365,0.46226276805494126,0.48923481155415105,0.6636787117078164,0.9255676846022903,100.0
Caffeine,1,272,-0.23897703369112588,13.295955882352942,0.5683438221713693,19.219110051624934,100.0
Caffeine,2,250,-1.1356493134662595,15.550399999999998,0.5333434457895566,19.528027156884026,100.0
Caffeine,3,222,-0.9595138881251335,14.835135135135136,0.6250812352943063,20.02388775633182,100.0
Metoprolol,1,276,-0.003910287879165919,9.769202898550724,0.6029718538886011,28.906576662294746,22.82608695652174
Metoprolol,2,252,0.039196751313052225,11.300396825396826,0.38472183132068677,29.100316830334517,23.41269841269841
Metoprolol,3,224,0.3455639618973019,10.705803571428573,0.3618987981056268,31.293028896633036,24.553571428571427
Atrazine,1,272,-1.1241376725949137,0.15955882352941175,-0.022552910205297753,0.5235695570777734,2.2058823529411766
Atrazine,2,250,-0.442983990913689,0.12,0.3162208011113592,0.5455831375693351,2.4
Atrazine,3,222,-0.6914384112236518,0.13468468468468467,0.18245063488860383,0.5364235104980463,2.2522522522522523
