emb_target,input,strategy,fold,pred_target,emb_r2,raw_r2,emb_wins,n_test,seed,model_path
temperature,16S,random_kfold,0,temperature,0.9851052165031432,0.7138336896896362,True,245,42,auto
temperature,16S,random_kfold,0,salinity,0.92241370677948,0.7342346906661987,True,243,42,auto
temperature,16S,random_kfold,0,Chl_a_log1p,0.665791392326355,0.5421420335769653,True,222,42,auto
temperature,16S,random_kfold,1,temperature,0.9859939217567444,0.7482396364212036,True,245,42,auto
temperature,16S,random_kfold,1,salinity,0.9217499494552612,0.7543674111366272,True,244,42,auto
temperature,16S,random_kfold,1,Chl_a_log1p,0.7348443865776062,0.0831930041313171,True,236,42,auto
temperature,16S,random_kfold,2,temperature,0.985126256942749,0.7238031625747681,True,245,42,auto
temperature,16S,random_kfold,2,salinity,0.9274381995201112,0.7541778683662415,True,244,42,auto
temperature,16S,random_kfold,2,Chl_a_log1p,0.7021234035491943,0.6429775357246399,True,232,42,auto
temperature,16S,random_kfold,3,temperature,0.9852495789527892,0.5697957873344421,True,244,42,auto
temperature,16S,random_kfold,3,salinity,0.916208267211914,0.7324974536895752,True,243,42,auto
temperature,16S,random_kfold,3,Chl_a_log1p,0.6329116821289062,0.578048050403595,True,223,42,auto
temperature,16S,random_kfold,4,temperature,0.9840781092643738,0.6191287040710449,True,244,42,auto
temperature,16S,random_kfold,4,salinity,0.9168714284896852,0.6489222645759583,True,242,42,auto
temperature,16S,random_kfold,4,Chl_a_log1p,0.6451181173324585,0.5017638206481934,True,228,42,auto
temperature,16S,temporal_blocked_kfold,0,temperature,0.7502658367156982,-10.442625999450684,True,245,42,auto
temperature,16S,temporal_blocked_kfold,0,salinity,0.8600963354110718,-6.529849052429199,True,245,42,auto
temperature,16S,temporal_blocked_kfold,0,Chl_a_log1p,0.5649687051773071,-6.493320941925049,True,242,42,auto
temperature,16S,temporal_blocked_kfold,1,temperature,0.689113438129425,-6.418362617492676,True,245,42,auto
temperature,16S,temporal_blocked_kfold,1,salinity,0.7411646842956543,-0.8738971948623657,True,245,42,auto
temperature,16S,temporal_blocked_kfold,1,Chl_a_log1p,0.4754514694213867,-0.1576960086822509,True,238,42,auto
temperature,16S,temporal_blocked_kfold,2,temperature,0.7078624367713928,0.0999732613563537,True,245,42,auto
temperature,16S,temporal_blocked_kfold,2,salinity,0.7222377061843872,0.2586187720298767,True,238,42,auto
temperature,16S,temporal_blocked_kfold,2,Chl_a_log1p,0.1632861495018005,-5.568820476531982,True,181,42,auto
temperature,16S,temporal_blocked_kfold,3,temperature,-0.1852245330810547,-18.626354217529297,True,244,42,auto
temperature,16S,temporal_blocked_kfold,3,salinity,0.8950644731521606,0.6629862785339355,True,244,42,auto
temperature,16S,temporal_blocked_kfold,3,Chl_a_log1p,0.4263277053833008,0.241539180278778,True,236,42,auto
temperature,16S,temporal_blocked_kfold,4,temperature,0.6264653205871582,-6.214008331298828,True,244,42,auto
temperature,16S,temporal_blocked_kfold,4,salinity,0.751132071018219,0.2696276903152466,True,244,42,auto
temperature,16S,temporal_blocked_kfold,4,Chl_a_log1p,0.6924067735671997,0.2579641938209533,True,244,42,auto
temperature,18S,random_kfold,0,temperature,0.9852735996246338,0.8685867786407471,True,245,42,auto
temperature,18S,random_kfold,0,salinity,0.8750611543655396,0.7899019122123718,True,243,42,auto
temperature,18S,random_kfold,0,Chl_a_log1p,0.7149910926818848,0.6663868427276611,True,222,42,auto
temperature,18S,random_kfold,1,temperature,0.9851627349853516,0.7918736934661865,True,245,42,auto
temperature,18S,random_kfold,1,salinity,0.8975316882133484,0.774327278137207,True,244,42,auto
temperature,18S,random_kfold,1,Chl_a_log1p,0.75267493724823,0.6958709955215454,True,236,42,auto
temperature,18S,random_kfold,2,temperature,0.986668348312378,0.6643358469009399,True,245,42,auto
temperature,18S,random_kfold,2,salinity,0.8961533308029175,0.8237749338150024,True,244,42,auto
temperature,18S,random_kfold,2,Chl_a_log1p,0.7047418355941772,0.6089992523193359,True,232,42,auto
temperature,18S,random_kfold,3,temperature,0.9838070273399352,0.8271393775939941,True,244,42,auto
temperature,18S,random_kfold,3,salinity,0.8475601077079773,0.8460298776626587,True,243,42,auto
temperature,18S,random_kfold,3,Chl_a_log1p,0.630128026008606,0.5827559232711792,True,223,42,auto
temperature,18S,random_kfold,4,temperature,0.983705759048462,0.8531476259231567,True,244,42,auto
temperature,18S,random_kfold,4,salinity,0.8426751494407654,0.7576543688774109,True,242,42,auto
temperature,18S,random_kfold,4,Chl_a_log1p,0.6512988805770874,0.6832518577575684,False,228,42,auto
temperature,18S,temporal_blocked_kfold,0,temperature,0.6613715887069702,-101.50889587402344,True,245,42,auto
temperature,18S,temporal_blocked_kfold,0,salinity,0.6850491762161255,-109.73899841308594,True,245,42,auto
temperature,18S,temporal_blocked_kfold,0,Chl_a_log1p,0.5086543560028076,-541.2890625,True,242,42,auto
temperature,18S,temporal_blocked_kfold,1,temperature,0.784750759601593,-637.2618408203125,True,245,42,auto
temperature,18S,temporal_blocked_kfold,1,salinity,0.5710090398788452,-245.38327026367188,True,245,42,auto
temperature,18S,temporal_blocked_kfold,1,Chl_a_log1p,0.4259121417999267,-75.5741195678711,True,238,42,auto
temperature,18S,temporal_blocked_kfold,2,temperature,0.6525951027870178,-13.1332426071167,True,245,42,auto
temperature,18S,temporal_blocked_kfold,2,salinity,0.3357916474342346,-55.27153015136719,True,238,42,auto
temperature,18S,temporal_blocked_kfold,2,Chl_a_log1p,0.4444648027420044,-1029.45751953125,True,181,42,auto
temperature,18S,temporal_blocked_kfold,3,temperature,-0.0239993333816528,-311.6046447753906,True,244,42,auto
temperature,18S,temporal_blocked_kfold,3,salinity,0.6786237955093384,-3.3834123611450195,True,244,42,auto
temperature,18S,temporal_blocked_kfold,3,Chl_a_log1p,0.5970019698143005,-2.12650728225708,True,236,42,auto
temperature,18S,temporal_blocked_kfold,4,temperature,0.7083972096443176,-17.295747756958008,True,244,42,auto
temperature,18S,temporal_blocked_kfold,4,salinity,0.7561907768249512,-2.025407314300537,True,244,42,auto
temperature,18S,temporal_blocked_kfold,4,Chl_a_log1p,0.7789406776428223,-0.4409912824630737,True,244,42,auto
temperature,16S+18S,random_kfold,0,temperature,0.9862871766090392,0.8751879334449768,True,245,42,auto
temperature,16S+18S,random_kfold,0,salinity,0.9243924617767334,0.8423348665237427,True,243,42,auto
temperature,16S+18S,random_kfold,0,Chl_a_log1p,0.6727708578109741,0.6382694840431213,True,222,42,auto
temperature,16S+18S,random_kfold,1,temperature,0.9862483143806458,0.8571881651878357,True,245,42,auto
temperature,16S+18S,random_kfold,1,salinity,0.9224628210067748,0.8612719774246216,True,244,42,auto
temperature,16S+18S,random_kfold,1,Chl_a_log1p,0.7725971937179565,0.5696128606796265,True,236,42,auto
temperature,16S+18S,random_kfold,2,temperature,0.986520767211914,0.8218113780021667,True,245,42,auto
temperature,16S+18S,random_kfold,2,salinity,0.93451726436615,0.8594499826431274,True,244,42,auto
temperature,16S+18S,random_kfold,2,Chl_a_log1p,0.7136048078536987,0.5632880330085754,True,232,42,auto
temperature,16S+18S,random_kfold,3,temperature,0.9866647720336914,0.7969454526901245,True,244,42,auto
temperature,16S+18S,random_kfold,3,salinity,0.8984130024909973,0.8713777661323547,True,243,42,auto
temperature,16S+18S,random_kfold,3,Chl_a_log1p,0.6520781517028809,0.6307214498519897,True,223,42,auto
temperature,16S+18S,random_kfold,4,temperature,0.9867891669273376,0.8619239926338196,True,244,42,auto
temperature,16S+18S,random_kfold,4,salinity,0.9328157305717468,0.8204525709152222,True,242,42,auto
temperature,16S+18S,random_kfold,4,Chl_a_log1p,0.6573787927627563,0.6911410093307495,False,228,42,auto
temperature,16S+18S,temporal_blocked_kfold,0,temperature,0.724855899810791,-59.315895080566406,True,245,42,auto
temperature,16S+18S,temporal_blocked_kfold,0,salinity,0.863067090511322,-52.41664123535156,True,245,42,auto
temperature,16S+18S,temporal_blocked_kfold,0,Chl_a_log1p,0.5487415790557861,-601.6614990234375,True,242,42,auto
temperature,16S+18S,temporal_blocked_kfold,1,temperature,0.7725675702095032,-334.3822021484375,True,245,42,auto
