target,input,strategy,fold,r2_raw_count,r2_raw_hellinger,n_train,n_test,seed
temperature,16S,random_kfold,0,0.7138336656914088,0.9739883729233872,978,245,42
temperature,16S,random_kfold,1,0.7482396462422725,0.9829256860316279,978,245,42
temperature,16S,random_kfold,2,0.7238031383941097,0.9793757670792694,978,245,42
temperature,16S,random_kfold,3,0.5697958143788036,0.9785455397184201,979,244,42
temperature,16S,random_kfold,4,0.6191287292336922,0.9768870081620203,979,244,42
temperature,16S,temporal_holdout,0,-8.33203329277017,-0.11672827038108102,978,245,42
temperature,16S,temporal_blocked_kfold,0,-10.44262260869855,-0.05358945932739423,978,245,42
temperature,16S,temporal_blocked_kfold,1,-6.4183619520987,0.605443445781561,978,245,42
temperature,16S,temporal_blocked_kfold,2,0.0999731553651454,0.6455666832875531,978,245,42
temperature,16S,temporal_blocked_kfold,3,-18.62635178505861,-0.6274110750912991,979,244,42
temperature,16S,temporal_blocked_kfold,4,-6.214007812260186,-0.11461184123793222,979,244,42
temperature,16S,leave_one_site_out,0,0.7043557841011313,0.9711206279038646,1136,87,42
temperature,16S,leave_one_site_out,1,0.6432298716992574,0.9745328507683124,1139,84,42
temperature,16S,leave_one_site_out,2,0.7130521103762353,0.9794084521035867,1141,82,42
temperature,16S,leave_one_site_out,3,0.6857553509389187,0.9691591874045005,1135,88,42
temperature,16S,leave_one_site_out,4,0.38427646214766065,0.968596726758127,1134,89,42
temperature,16S,leave_one_site_out,5,-0.888616056903863,0.6111354691696179,1132,91,42
temperature,16S,leave_one_site_out,6,0.6280073466068221,0.980595096117538,1133,90,42
temperature,16S,leave_one_site_out,7,0.754203340780293,0.9803386459655359,1134,89,42
temperature,16S,leave_one_site_out,8,0.7842735425659831,0.9812383192269643,1132,91,42
temperature,16S,leave_one_site_out,9,0.7779438977142312,0.9811091682259871,1135,88,42
temperature,16S,leave_one_site_out,10,0.6839053849008461,0.9868581040749412,1137,86,42
temperature,16S,leave_one_site_out,11,0.48075113269930203,0.9748021080246427,1134,89,42
temperature,16S,leave_one_site_out,12,0.631907745284606,0.9733841046034062,1138,85,42
temperature,16S,leave_one_site_out,13,0.585634827796017,0.9799071447543891,1139,84,42
temperature,18S,random_kfold,0,0.868586750642084,0.9555726508565864,978,245,42
temperature,18S,random_kfold,1,0.7918736934398901,0.9519414503549368,978,245,42
temperature,18S,random_kfold,2,0.6643357134178922,0.9467614351498158,978,245,42
temperature,18S,random_kfold,3,0.8271393259988292,0.9499348271769561,979,244,42
temperature,18S,random_kfold,4,0.8531475896022043,0.9507512057533862,979,244,42
temperature,18S,temporal_holdout,0,-17.1440786411675,-2.3841620705219873,978,245,42
temperature,18S,temporal_blocked_kfold,0,-101.50890947510143,0.3239522522797893,978,245,42
temperature,18S,temporal_blocked_kfold,1,-637.2618400495164,-0.03931854720514538,978,245,42
temperature,18S,temporal_blocked_kfold,2,-13.133257179681886,0.44730702187612725,978,245,42
temperature,18S,temporal_blocked_kfold,3,-311.6046459232141,-4.2327967371306645,979,244,42
