regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
temporal,0,temperature,1,825,373,0.13529686307183963,1.7969877321708618,0.7831327113903802,0.8107442359249329,5.169250460571412
temporal,0,temperature,2,811,357,-0.1655189141565887,2.1095874345560364,0.6922797425803795,1.0353210084033613,5.278320574896468
temporal,0,temperature,3,792,341,-0.006823756157955385,1.9706885699610555,0.5546790829313187,1.219506158357771,5.199700571228834
temporal,0,salinity,1,818,374,0.49630243377686856,2.44605075434899,0.5167712786202683,2.2847681818181815,20.61413681814407
temporal,0,salinity,2,804,358,0.43099899151416543,2.5852473817552934,0.4292145922269771,2.406696648044693,20.04963724905847
temporal,0,salinity,3,785,342,0.5273879544994642,2.3447135824805114,0.5102714979862422,2.247474269005848,20.314371999717608
temporal,0,Chl_a_log1p,1,983,391,0.5391615445637259,0.45663846824055954,0.5272834439508345,0.44980013955136294,0.831251181462894
temporal,0,Chl_a_log1p,2,960,378,0.4651581960698533,0.5076728390043446,0.5315167582163431,0.4534976946411104,0.8551092656524003
temporal,0,Chl_a_log1p,3,937,365,0.48671729444057643,0.49544024066734527,0.46226276805494126,0.48923481155415105,0.856675538780045
temporal,0,Caffeine,1,953,272,0.12347537802305131,13.167242633595187,-0.23897703369112588,13.295955882352942,369.37419117647056
temporal,0,Caffeine,2,930,250,0.22821662343989113,12.291037781524658,-1.1356493134662595,15.550399999999998,381.34384464000004
temporal,0,Caffeine,3,907,222,0.13484524663092035,13.347328199781812,-0.9595138881251335,14.835135135135136,400.95608087817544
temporal,0,Metoprolol,1,953,276,0.021323508802473135,12.328848538191423,-0.003910287879165919,9.769202898550724,835.5901743331233
temporal,0,Metoprolol,2,930,252,0.0749804602968509,11.98558525944513,0.039196751313052225,11.300396825396826,846.8284396258504
temporal,0,Metoprolol,3,907,224,0.03295269816454427,13.260683538977588,0.3455639618973019,10.705803571428573,979.2536575255102
temporal,0,Atrazine,1,951,272,0.004299681264162247,0.10104084404422739,-1.1241376725949137,0.15955882352941175,0.2741250810986159
temporal,0,Atrazine,2,928,250,0.007235899535985579,0.10914732107559685,-0.442983990913689,0.12,0.29766096000000003
temporal,0,Atrazine,3,905,222,0.009090763393737378,0.12156911182237227,-0.6914384112236518,0.13468468468468467,0.28775018261504753
random_dates,0,temperature,1,622,133,0.9453924796973278,1.3653008020867856,0.9655694182924733,0.9507389527668263,51.01671432572539
random_dates,0,temperature,2,499,63,0.8774123335951092,0.8929751709150888,0.7169410582625195,1.4799079365079366,9.779791542539678
random_dates,0,temperature,3,573,54,0.9352081784189449,1.4939131878746879,0.9044596058331403,2.045851851851852,55.53272780555557
random_dates,0,salinity,1,603,90,0.8245100795842393,1.646506995042421,0.825555841762685,1.8875778324663088,29.585633613210387
random_dates,0,salinity,2,599,84,0.7406728037086936,2.239578683379718,0.7738092753193431,2.0158154761904763,36.20740399192177
random_dates,0,salinity,3,578,68,0.8904842218068401,1.5096662223984212,0.8491266094759056,1.6206558823529413,37.64609937846021
random_dates,0,Chl_a_log1p,1,673,163,0.6032804877523161,0.41117621878914246,0.29354391680765757,0.499997559341389,0.7164888589610932
random_dates,0,Chl_a_log1p,2,690,125,0.5134719474788552,0.4295790367268439,0.3228057603045751,0.5150839680585212,0.6893032130311384
random_dates,0,Chl_a_log1p,3,640,58,0.6629549972230274,0.3912383868603152,0.45143921073897864,0.5373545863469675,0.947731342482057
random_dates,0,Caffeine,1,621,133,0.638057229222452,12.17977991892879,0.4430316729284357,10.284962406015037,824.5502006896942
random_dates,0,Caffeine,2,578,96,0.18983806703222805,10.713154564301172,-4.625898543155477,20.535416666666666,315.9044259982639
random_dates,0,Caffeine,3,673,105,0.29124450181618,20.579072340102428,0.022981453946256836,24.291428571428572,3505.36836643991
random_dates,0,Metoprolol,1,564,138,0.2686635592953326,26.230271476636766,0.36559742807658724,23.388405797101452,3858.2747432262136
random_dates,0,Metoprolol,2,610,106,0.2729578135826103,16.879142318694097,0.33976892500194167,15.184905660377357,2685.1645185119264
random_dates,0,Metoprolol,3,585,107,-0.4474841784786381,14.237320896509653,-1.379296674162271,15.04392523364486,391.44533321687493
random_dates,0,Atrazine,1,632,108,-0.04787372274292845,0.07238870348540971,-4.878828056786214,0.16944444444444443,0.10604595336076812
random_dates,0,Atrazine,2,662,95,0.06073847373258945,0.13320495832343832,-1.0427386475467468,0.16,0.29949473684210504
random_dates,0,Atrazine,3,580,113,0.018741643628791826,0.2809346577308174,-0.3193750184862021,0.34247787610619473,0.9531866238546479
random_dates,1,temperature,1,625,89,0.9248642089291823,1.163383501599076,0.9533190425212404,0.9943750855687271,31.737059228680398
random_dates,1,temperature,2,549,49,0.9758010964387982,0.6708429577574441,0.9628455765685884,0.8405612244897959,29.10071355755102
random_dates,1,temperature,3,516,41,0.9475656610324026,1.0316951838981814,0.8202817517103979,2.1261414634146347,30.284524905734674
random_dates,1,salinity,1,660,110,0.8383388628101869,1.7835160604580966,0.7824499898481482,1.947304545454546,35.19743496395372
