Target,k,Temporal,Random (dates),Random (pairs),Shift effect,Leak effect,n test (temp/rand)
temperature,1,+0.135,+0.863 ± 0.139,+0.976 ± 0.003,+0.728,+0.113,373 / 100
temperature,2,-0.166,+0.936 ± 0.040,+0.977 ± 0.001,+1.102,+0.041,357 / 99
temperature,3,-0.007,+0.949 ± 0.021,+0.976 ± 0.004,+0.955,+0.028,341 / 70
salinity,1,+0.496,+0.727 ± 0.108,+0.855 ± 0.012,+0.231,+0.127,374 / 119
salinity,2,+0.431,+0.731 ± 0.143,+0.849 ± 0.008,+0.300,+0.118,358 / 81
salinity,3,+0.527,+0.711 ± 0.111,+0.846 ± 0.010,+0.184,+0.135,342 / 87
Chl_a_log1p,1,+0.539,+0.533 ± 0.074,+0.638 ± 0.033,-0.006,+0.104,391 / 119
Chl_a_log1p,2,+0.465,+0.628 ± 0.110,+0.671 ± 0.018,+0.163,+0.043,378 / 129
Chl_a_log1p,3,+0.487,+0.623 ± 0.045,+0.636 ± 0.015,+0.136,+0.013,365 / 105
Caffeine,1,+0.123,-0.811 ± 2.052,+0.524 ± 0.072,-0.934,+1.334,272 / 98
Caffeine,2,+0.228,+0.297 ± 0.212,+0.476 ± 0.094,+0.069,+0.179,250 / 108
Caffeine,3,+0.135,+0.166 ± 0.154,+0.529 ± 0.065,+0.032,+0.363,222 / 88
Metoprolol,1,+0.021,+0.289 ± 0.098,+0.366 ± 0.072,+0.268,+0.077,276 / 112
Metoprolol,2,+0.075,+0.210 ± 0.045,+0.315 ± 0.074,+0.135,+0.105,252 / 100
Metoprolol,3,+0.033,+0.099 ± 0.306,+0.354 ± 0.055,+0.066,+0.255,224 / 103
Atrazine,1,+0.004,+0.048 ± 0.093,+0.185 ± 0.044,+0.043,+0.138,272 / 109
Atrazine,2,+0.007,+0.050 ± 0.129,+0.173 ± 0.029,+0.043,+0.123,250 / 90
Atrazine,3,+0.009,+0.029 ± 0.084,+0.099 ± 0.046,+0.020,+0.070,222 / 123
