,,,R2,R2,R2,R2,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE
,,,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN,Lasso,RF,XGBoost,TabPFN
target,input,strategy,,,,,,,,,,,,
Atrazine,16S,leave_one_site_out,0.0531370010509077,0.0779393749051113,-0.0090375486982584,0.0736,0.2771170801228036,0.2609440571450002,0.2668756039827311,0.185,0.5936870063391613,0.572576368473092,0.6270212232791973,0.553
Atrazine,16S,random_kfold,0.0714,0.1182,-0.0342,0.1497,0.272,0.254,0.267,0.186,0.707,0.685,0.73,0.678
Atrazine,16S,temporal_blocked_kfold,-0.091,-0.1012,-0.1045,-0.0412,0.318,0.276,0.27,0.177,0.677,0.674,0.685,0.631
Atrazine,16S,temporal_holdout,-0.0111960048901604,0.0557777330032591,0.038222032063556,-0.0057,0.2505667664597529,0.1603172526693046,0.2198549715296704,0.112,0.5956985970643283,0.5756334511779793,0.5809601140611066,0.594
Atrazine,16S+18S,leave_one_site_out,0.0378774607423357,0.0784577605918458,-0.0591190955597637,0.0796,0.2492611243088688,0.2549821040129217,0.248089324788326,0.183,0.5820932634537466,0.5646213045692837,0.6342088864869055,0.549
Atrazine,16S+18S,random_kfold,0.0837103295237353,0.1549416425309711,-0.0775713887719967,0.168,0.2588590005118399,0.2510816829397958,0.2501818041201658,0.183,0.7056394422329776,0.672029585575534,0.7495615480653783,0.671
Atrazine,16S+18S,temporal_blocked_kfold,-0.0581127303103185,-0.1368403737025253,-0.6436379808183705,-0.0455,0.3057221535394886,0.2995272792566614,0.3309438066862046,0.183,0.6628339983763001,0.7018545661772011,0.8310749057195996,0.635
Atrazine,16S+18S,temporal_holdout,-0.0068082069809454,0.0219251853157023,-0.6575601835112159,-0.014,0.2369411488168573,0.1463122810485714,0.2178505016043204,0.111,0.5944047595289487,0.5858614778053977,0.7626821070396707,0.597
Atrazine,18S,leave_one_site_out,0.0139498266060275,0.0610268489154806,-0.1033562789985157,0.0789,0.2615474287157914,0.2571197699598916,0.2530305730923778,0.183,0.5886046357411114,0.5636002959633796,0.6169624314389613,0.55
Atrazine,18S,random_kfold,-0.0204285906855933,0.1917346742192498,0.0764959586050809,0.1745,0.2769570103915296,0.2536688647035192,0.242890714409646,0.183,0.7382041947354747,0.6610715462829118,0.7038612084719169,0.669
Atrazine,18S,temporal_blocked_kfold,-0.0468018714086845,-0.2041696515069376,-0.7043209630998695,-0.0432,0.3039529503242832,0.3143267671801804,0.3400559125872801,0.181,0.6638995578169637,0.7202900118453052,0.8853066498252466,0.637
Atrazine,18S,temporal_holdout,-0.0118585254252219,0.0124126514308382,-0.6748263023538745,-0.0194,0.252540144204419,0.1558042230269518,0.190392710534177,0.106,0.595893711526939,0.5887035621086925,0.766644088216105,0.598
Caffeine,16S,leave_one_site_out,0.0044,0.3937725388412555,0.289510321320707,0.4331,16.385,13.161086080672463,13.094989341505787,11.425,28.924,23.808641351450365,24.058421438148788,22.142
Caffeine,16S,random_kfold,0.4386,0.6221,0.6002,0.6887,16.182,12.383,12.233,10.581,29.072,23.981,24.394,21.812
Caffeine,16S,temporal_blocked_kfold,-259.389,0.292,0.2454,0.3416,103.731,19.03,18.985,17.34,303.717,30.351,31.081,29.316
Caffeine,16S,temporal_holdout,-1.4935,0.4203,0.4307252891867994,0.4995,23.207,10.659,10.527007969405298,9.317,38.957,18.784,18.61425701169278,17.454
Caffeine,16S+18S,leave_one_site_out,-2.0637,0.4067859838157466,0.2437255806931512,0.3916,18.007,12.823780196741206,12.74857235309604,12.232,39.027,23.558350200296207,24.134844300834803,23.407
