target,k,site,n_pairs,n_dropped_gap,n_distinct,pct_zero,pearson,spearman,usable
temperature,1,Boergerende Strand,79,0,72,0.0,0.9798318291299789,0.9465317127677548,True
temperature,1,Diedrichshagen,75,0,70,0.0,0.9751467450512992,0.9526068710434598,True
temperature,1,Elmenhorst Strand,73,1,67,0.0,0.980741310771487,0.9579441054922183,True
temperature,1,Jemnitzschleuse,80,1,75,0.0,0.9782763683136158,0.9520588890321522,True
temperature,1,Mittelmole Warnemuende,81,0,73,0.0,0.9910147906155677,0.9736295258961443,True
temperature,1,Muehlendamm,84,0,79,0.0,0.9857795547760497,0.97347238394168,True
temperature,1,Neptun-Werft,82,0,75,0.0,0.984130981769225,0.9654791448972485,True
temperature,1,Parkplatz zur Warnow,80,1,71,0.0,0.9687812249012798,0.954276905763888,True
temperature,1,SAB Marina Bramow,84,0,74,0.0,0.9824534291952985,0.9706746055855964,True
temperature,1,Schmarl-Dorf / IGA-Park,78,2,72,0.0,0.9743502631195211,0.958505909227917,True
temperature,1,Schwimmhalle Gehlsdorf,76,0,69,0.0,0.9759769147353758,0.9610354987338915,True
temperature,1,Stadthafen Rostock,81,0,75,0.0,0.9832678628292796,0.9714355082774354,True
temperature,1,Steilkueste Nienhagen,76,1,70,0.0,0.9772009098184676,0.9515257991304585,True
temperature,1,Warnemuende Strand,74,0,68,0.0,0.9733172741798244,0.9533838372879689,True
temperature,2,Boergerende Strand,74,0,67,0.0,0.9639567245442959,0.9011500892621563,True
temperature,2,Diedrichshagen,70,0,65,0.0,0.9568776171243717,0.8983027121609797,True
temperature,2,Elmenhorst Strand,67,2,61,0.0,0.9656585689781325,0.9123727798842545,True
temperature,2,Jemnitzschleuse,76,1,71,0.0,0.9644718899820957,0.9077697113872827,True
temperature,2,Mittelmole Warnemuende,77,1,69,0.0,0.9772308535806904,0.9319305303568142,True
temperature,2,Muehlendamm,81,0,76,0.0,0.9649417904373162,0.9362430128168935,True
temperature,2,Neptun-Werft,79,0,72,0.0,0.9677114885523044,0.9264403354797872,True
temperature,2,Parkplatz zur Warnow,76,2,67,0.0,0.9544702914610683,0.9204164786633305,True
temperature,2,SAB Marina Bramow,81,0,71,0.0,0.9651842151680187,0.937251535959523,True
temperature,2,Schmarl-Dorf / IGA-Park,73,4,68,0.0,0.9618420935917408,0.9369995525865127,True
temperature,2,Schwimmhalle Gehlsdorf,73,1,65,0.0,0.9607120251202194,0.9241865561061017,True
temperature,2,Stadthafen Rostock,78,0,72,0.0,0.9640645335372515,0.9378043074121382,True
temperature,2,Steilkueste Nienhagen,70,2,64,0.0,0.9610015387513813,0.9044131800444467,True
temperature,2,Warnemuende Strand,71,0,66,0.0,0.9573565435763196,0.9049383751152845,True
temperature,3,Boergerende Strand,72,0,65,0.0,0.9497245791554936,0.8613226130931668,True
temperature,3,Diedrichshagen,68,1,63,0.0,0.9411186632814701,0.8390501822901753,True
temperature,3,Elmenhorst Strand,65,3,59,0.0,0.9522024956101717,0.862898731323857,True
temperature,3,Jemnitzschleuse,74,2,69,0.0,0.9502463226416719,0.8708048224177256,True
temperature,3,Mittelmole Warnemuende,74,2,66,0.0,0.9603656920083249,0.8801232391758379,True
temperature,3,Muehlendamm,78,0,73,0.0,0.9418311521079619,0.8862205023142881,True
temperature,3,Neptun-Werft,77,0,70,0.0,0.9504803889362402,0.8907607766837129,True
temperature,3,Parkplatz zur Warnow,73,3,64,0.0,0.9397987279741292,0.8720906012309848,True
temperature,3,SAB Marina Bramow,78,0,68,0.0,0.9436285824431613,0.89357221456307,True
temperature,3,Schmarl-Dorf / IGA-Park,69,6,64,0.0,0.9452044611221898,0.8898663524538405,True
temperature,3,Schwimmhalle Gehlsdorf,71,1,64,0.0,0.9349830667343466,0.8689484010531082,True
temperature,3,Stadthafen Rostock,75,0,69,0.0,0.9409117810793676,0.8892650866361281,True
temperature,3,Steilkueste Nienhagen,67,3,62,0.0,0.948263292887903,0.8574108443592968,True
temperature,3,Warnemuende Strand,69,0,63,0.0,0.9415053823474976,0.8521590587645107,True
salinity,1,Boergerende Strand,79,0,76,0.0,0.5448590398240469,0.6163686600046253,True
salinity,1,Diedrichshagen,75,0,71,0.0,0.47871894646290714,0.5297134281357098,True
salinity,1,Elmenhorst Strand,73,1,65,0.0,0.5374907885700883,0.5892967351724988,True
salinity,1,Jemnitzschleuse,80,1,75,0.0,0.4790192182078467,0.583354334318188,True
salinity,1,Mittelmole Warnemuende,79,0,69,0.0,0.7763062919283868,0.8005879918192441,True
salinity,1,Muehlendamm,82,0,49,0.0,0.9336653187795726,0.903526838920195,True
salinity,1,Neptun-Werft,80,0,75,0.0,0.826293704113996,0.8404090722616189,True
salinity,1,Parkplatz zur Warnow,78,1,75,0.0,0.8063698512219483,0.8266098436946734,True
salinity,1,SAB Marina Bramow,82,0,78,0.0,0.6579836990195819,0.7531428571428572,True
salinity,1,Schmarl-Dorf / IGA-Park,76,2,71,0.0,0.7194828283380355,0.7779631009608174,True
salinity,1,Schwimmhalle Gehlsdorf,76,0,72,0.0,0.7866478555322928,0.7894564147435196,True
salinity,1,Stadthafen Rostock,81,0,75,0.0,0.8572430588486581,0.8070612281771575,True
salinity,1,Steilkueste Nienhagen,76,1,72,0.0,0.5140331066053431,0.5602797126445894,True
salinity,1,Warnemuende Strand,74,0,70,0.0,0.5319042318241,0.6077368522385628,True
salinity,2,Boergerende Strand,74,0,71,0.0,0.45597432517434683,0.46576671307129536,True
salinity,2,Diedrichshagen,70,0,66,0.0,0.4191390875767307,0.3989606481076446,True
salinity,2,Elmenhorst Strand,67,2,59,0.0,0.4407887773336189,0.42416349830969663,True
salinity,2,Jemnitzschleuse,76,1,72,0.0,0.4244814883936906,0.47383244011812314,True
salinity,2,Mittelmole Warnemuende,76,1,66,0.0,0.667715046180911,0.6735376158831733,True
salinity,2,Muehlendamm,79,0,45,0.0,0.9152685000604506,0.9124532437714136,True
salinity,2,Neptun-Werft,78,0,73,0.0,0.8255221213564501,0.8525495105850218,True
salinity,2,Parkplatz zur Warnow,76,1,72,0.0,0.7869627430441766,0.8239138162032099,True
salinity,2,SAB Marina Bramow,79,0,75,0.0,0.62963116871899,0.7279377753974243,True
salinity,2,Schmarl-Dorf / IGA-Park,72,4,68,0.0,0.7613192051430471,0.820314509904811,True
salinity,2,Schwimmhalle Gehlsdorf,74,1,70,0.0,0.7371693819248384,0.7407544543017521,True
salinity,2,Stadthafen Rostock,78,0,72,0.0,0.7884804262697693,0.7564655444968573,True
salinity,2,Steilkueste Nienhagen,70,2,66,0.0,0.41284214849488704,0.40334546478738637,True
salinity,2,Warnemuende Strand,71,0,67,0.0,0.44766449780799317,0.4782597759742437,True
salinity,3,Boergerende Strand,72,0,69,0.0,0.40051232305307616,0.36107761323621634,True
salinity,3,Diedrichshagen,68,1,64,0.0,0.3657206472763064,0.3366768467264746,True
salinity,3,Elmenhorst Strand,65,3,57,0.0,0.36970791855188545,0.3129323819428659,True
salinity,3,Jemnitzschleuse,74,2,69,0.0,0.3145535302185279,0.31831275873411446,True
salinity,3,Mittelmole Warnemuende,72,2,62,0.0,0.6170062368055538,0.5977356245318325,True
salinity,3,Muehlendamm,76,0,42,0.0,0.8669766152467419,0.8788098144619826,True
salinity,3,Neptun-Werft,75,0,70,0.0,0.7606460418046846,0.7953481755459137,True
salinity,3,Parkplatz zur Warnow,72,2,68,0.0,0.7461667343817926,0.7834867548591024,True
salinity,3,SAB Marina Bramow,76,0,72,0.0,0.5821476410668627,0.6728598869518538,True
salinity,3,Schmarl-Dorf / IGA-Park,67,6,63,0.0,0.6602546662203509,0.7232100095785441,True
salinity,3,Schwimmhalle Gehlsdorf,71,1,67,0.0,0.7552108840418029,0.7726464768420701,True
salinity,3,Stadthafen Rostock,75,0,69,0.0,0.7484323232863178,0.7363075084644493,True
salinity,3,Steilkueste Nienhagen,67,3,63,0.0,0.40303711094512346,0.3638377268100128,True
salinity,3,Warnemuende Strand,69,0,65,0.0,0.3812901960966624,0.3521357059339375,True
Chl_a,1,Boergerende Strand,95,0,79,0.0,0.00826774668536337,0.22954910559742442,True
Chl_a,1,Diedrichshagen,97,2,89,0.0,0.23470944887515274,0.2225086051883139,True
Chl_a,1,Elmenhorst Strand,92,2,81,0.0,0.04265993074834984,0.18230196256453998,True
Chl_a,1,Jemnitzschleuse,95,1,83,0.0,0.474321533273298,0.35017849643865046,True
Chl_a,1,Mittelmole Warnemuende,103,1,93,0.0,0.009955842190223578,0.3565144567449899,True
Chl_a,1,Muehlendamm,98,1,85,0.0,0.5693373541901247,0.6332578825008375,True
Chl_a,1,Neptun-Werft,101,1,90,0.0,0.3321095388737274,0.5761597311629801,True
Chl_a,1,Parkplatz zur Warnow,100,0,92,0.0,0.1311762778684216,0.42868801796248385,True
