target,k,n_sites,n_pairs,pearson_med,pearson_q1,pearson_q3,spearman_med,spearman_q1,spearman_q3
temperature,1,14,1103,0.9790540987217973,0.9753542874723183,0.9830642544207844,0.9582250073600677,0.952801112604587,0.9693757404135094
temperature,2,14,1046,0.9640106290407737,0.9607844035280099,0.965123608985343,0.9223015173847161,0.9056462091832841,0.9351648922018736
temperature,3,14,1010,0.9444165217826755,0.9412153430479769,0.9501158867701273,0.8714477118243552,0.8617166426508394,0.8885039405556681
salinity,1,14,1091,0.6887332636788086,0.5333008710105971,0.8014393522995344,0.7655529790518374,0.5939067644390148,0.8054429190876792
salinity,2,14,1040,0.6486731074499505,0.44250770745221246,0.7805518585688942,0.7007376956402989,0.4677831448330023,0.8043522685528226
salinity,3,14,999,0.5995769389362082,0.38609572783576585,0.7478659260601865,0.6352977557418431,0.3543711827595072,0.7635617347476649
Chl_a,1,14,1361,0.18294286337178717,0.031623768895284274,0.38959614759353023,0.3866371843171795,0.22426873029059152,0.5275751698080032
Chl_a,2,14,1328,0.0832078194370324,0.01266852787332906,0.22258905611993035,0.3084207454778526,0.1636280169434666,0.4045504301722174
Chl_a,3,14,1285,0.010702381702719442,-0.038160690081512794,0.22826885459768495,0.28416224632284515,0.1475055388844808,0.3709691690554251
Caffeine,1,14,1185,0.37773380488906727,0.2552146075786057,0.505295954825058,0.48745242751234386,0.4347608810843336,0.6153394906393717
Caffeine,2,14,1128,0.319834284371693,0.20764391316167446,0.4520090832621795,0.44108570088756205,0.34524723886234443,0.47638611514992
Caffeine,3,14,1056,0.32093954548379894,0.2885870756563269,0.43211091551537945,0.38638888112427017,0.301527788178248,0.4347063265512096
Metoprolol,1,9,757,0.36677603338471293,0.23709628827790702,0.643219654570301,0.4305974972297835,0.2697512976467217,0.612656664135396
Metoprolol,2,9,720,0.4990110856444616,0.17763058444715962,0.5374514042126289,0.45601980039237583,0.04066835588842347,0.5046389150416117
Metoprolol,3,9,672,0.4141813332262944,0.22679702851444192,0.4770067070489452,0.4382574353417548,0.2712473137272219,0.4984777723399847
Atrazine,1,5,432,0.29584762483807847,0.19048766846313883,0.3092844727694093,0.30664093664341624,0.21031224322103537,0.3430455979351878
Atrazine,2,5,413,0.25626524071467854,0.24374349731510597,0.3282345253653322,0.2595893903810505,0.2522578993050541,0.34617700180614086
Atrazine,3,4,319,0.16595994619528293,0.15522035807285411,0.23726894400635706,0.1698304272499958,0.162196874534226,0.24602486003970153
